well,frame,cellID,x,y,r,area,totalIntensity.1,sdIntensity.1,totalIntensity.2,sdIntensity.2,denoisedTotalIntensity.1,denoisedTotalIntensityMult.1,denoisedTotalIntensity.2,denoisedTotalIntensityMult.2,denoisedNormalTotalIntensity.1,denoisedNormalTotalIntensityMult.1,denoisedNormalTotalIntensity.2,denoisedNormalTotalIntensityMult.2
E5,3,19616,517.6286,1029.8714,504.9245,140,9900,10.7739,15842,12.0701,11357,11357,17184.5868797202,18301.4466834639,11173.4997203204,11173.4997203204,16906.9275948204,18005.7417803243
E5,3,19617,522.4638,776.2826,263.9019,138,10475,12.9259,30914,33.2274,11357,11357,32156.2686298439,33835.2588044213,11173.4997203204,11173.4997203204,31636.7049874182,33288.5669444545
E5,3,19618,534.9516,852.9839,330.1425,124,11014,21.3416,18792,23.9601,11357,11357,18831.7936987712,19411.3664900455,11173.4997203204,11173.4997203204,18527.519734644,19097.7281013965
E5,3,19620,537.0226,736.6391,221.9714,133,10417,14.8291,21125,19.1288,11357,11357,22064.7454616476,23183.8309142785,11173.4997203204,11173.4997203204,21708.2352068909,22809.2390804478
E5,3,19623,555.2101,149.2826,399.8117,138,11680,17.3158,22260,27.272,11357,11357,21354.913125887,21602.6628395567,11173.4997203204,11173.4997203204,21009.8719591058,21253.6186665459
E5,3,19624,560.7105,58.8772,487.6125,114,12095,31.8795,20581,30.3913,11357,11357,19238.5475858734,19256.5328015172,11173.4997203204,11173.4997203204,18927.7015118541,18945.3961320853
E5,3,19626,572.5303,65.25,479.5203,132,12722,25.6448,17694,18.5109,11357,11357,15930.239831109,15733.0786924187,11173.4997203204,11173.4997203204,15672.8476091867,15478.8720938204
E5,3,19628,574.381,397.8707,156.5458,147,11208,14.2356,21804,22.7003,11357,11357,21568.5175844617,22114.6978558804,11173.4997203204,11173.4997203204,21220.0251120638,21757.3804972836
E5,3,19629,576.8472,448.9514,110.8067,144,10554,11.9591,24025,16.1283,11357,11357,24851.3071511987,26021.8184435408,11173.4997203204,11173.4997203204,24449.7731358207,25601.3719381114
E5,3,19630,576.5241,811.9586,279.2681,145,10465,11.0964,13651,12.0641,11357,11357,14209.6416974435,14849.4007768882,11173.4997203204,11173.4997203204,13980.0499720206,14609.4721693656
