#wells,B4
#channel,3
#pathname,Z:/DATA/201112/20111205/201112051201_HCEC+LRHCL+TapYFP_Hoechst_subtracted/B4
#halo_size,8
#nuclear_channel,1
#segment_params.inequalities,Area<3000 Area>200 Solidity>.90 
#segment_params.threshold,800
mad_nucleus,median_nucleus,mean_nucleus,std_nucleus,max_nucleus,sum_nucleus,length_nucleus,mad_halo,median_halo,mean_halo,std_halo,max_halo,sum_halo,length_halo
437.12,3390,3260.7,524.65,4142,1.7119e+006,525,925.28,1599,1696.5,1074.4,3793,1.3555e+006,799
33.251,92,93.388,41.129,218,39690,425,31.42,92,91.775,38.964,219,66537,725
230.27,2338,2249,305.91,2729,9.2658e+005,412,643.07,1519,1331.3,713.77,2626,9.3458e+005,702
191.78,1738.5,1718.8,239.73,2210,9.5911e+005,558,431.87,1167,1045,526.89,1873,8.4125e+005,805
70.554,1189,1183.6,89.249,1431,6.7823e+005,573,149.66,1010,1007.1,185.58,1446,8.1873e+005,813
519.32,3594,3473.4,613.89,4425,1.9972e+006,575,1203.9,2335,2204.9,1331.5,4314,1.8278e+006,829
105.46,1257.5,1237.8,125.22,1501,7.0799e+005,572,173.74,1008.5,1011.4,224.16,1503,8.3141e+005,822
37.766,53,64.482,51.526,293,21021,326,36.543,55,66.707,53.436,359,40091,601
184.23,1888,1837.8,232.85,2341,1.0825e+006,589,484.38,1240,1136.9,566.29,2067,9.3002e+005,818
125.54,3622,3625.6,160.33,4156,3.6003e+006,993,386.95,3628,3707,500.38,5299,3.6996e+006,998
209.38,1479,1447.8,250.94,2067,8.3974e+005,580,424.33,1093,1052.5,492.13,1995,8.7147e+005,828
40.464,438,435.22,51.351,588,3.1336e+005,720,60.395,368,360.02,74.829,531,3.1718e+005,881
343.97,2750,2650.6,406.52,3360,1.7945e+006,677,695.3,2041,1955.9,790.91,3239,1.7212e+006,880
144.74,2919,2924.1,178.71,3444,1.889e+006,646,347.59,2337,2234,459.91,2971,1.9301e+006,864
86.338,1181,1170.1,108.95,1395,6.8917e+005,589,180.66,1042,978.09,232.07,1363,7.9421e+005,812
145.62,1841,1835.2,179.51,2302,1.1176e+006,609,207.67,1445.5,1398.1,253.92,1869,1.152e+006,824
258.74,2702,2658.1,329.38,3204,1.5284e+006,575,767.25,1403,1335.7,847.45,2753,1.0859e+006,813
174.51,1967,1945,214.25,2353,1.2156e+006,625,318.16,1527,1437.4,413,2137,1.2074e+006,840
132.65,2228,2214.6,165,2600,1.6698e+006,754,199.24,1779,1753.4,248.1,2233,1.6148e+006,921
230.19,1549.5,1526.5,268.03,2069,1.783e+006,1168,289.64,1452,1347.3,328.11,2022,1.5238e+006,1131
319.9,2425,2428.8,383.02,3200,1.1586e+006,477,628.7,1720.5,1546.1,748.91,2934,1.1843e+006,766
278.73,2574,2484.1,363.19,3125,1.4681e+006,591,698.12,1688.5,1499,817.44,2795,1.2322e+006,822
842.74,1833,1710.6,919.97,3349,3.2963e+006,1927,834.65,684,1054.6,916.04,3028,1.5808e+006,1499
